State,Date,New Deaths,Historic Deaths
United States,Sep 18 2021,1623,0
United States,Sep 17 2021,2295,37
United States,Sep 16 2021,2082,25
United States,Sep 15 2021,2397,108
United States,Sep 14 2021,2433,5
United States,Sep 13 2021,1293,53
United States,Sep 12 2021,1146,19
United States,Sep 11 2021,1758,0
United States,Sep 10 2021,2252,49
United States,Sep  9 2021,2250,6
United States,Sep  8 2021,2073,58
United States,Sep  7 2021,1467,87
United States,Sep  6 2021,1062,15
United States,Sep  5 2021,1284,49
United States,Sep  4 2021,1505,0
United States,Sep  3 2021,1939,28
United States,Sep  2 2021,2020,16
United States,Sep  1 2021,1995,36
United States,Aug 31 2021,1760,50
United States,Aug 30 2021,1209,35
United States,Aug 29 2021,1161,33
United States,Aug 28 2021,1473,0
United States,Aug 27 2021,1813,42
United States,Aug 26 2021,1765,31
United States,Aug 25 2021,1653,17
United States,Aug 24 2021,1665,4
United States,Aug 23 2021,1130,77
United States,Aug 22 2021,892,13
United States,Aug 21 2021,1179,0
United States,Aug 20 2021,1570,14
United States,Aug 19 2021,1365,29
United States,Aug 18 2021,1494,15
United States,Aug 17 2021,1203,0
United States,Aug 16 2021,853,8
United States,Aug 15 2021,681,0
United States,Aug 14 2021,895,0
United States,Aug 13 2021,1186,14
United States,Aug 12 2021,997,0
United States,Aug 11 2021,603,12
United States,Aug 10 2021,968,0
United States,Aug  9 2021,728,1
United States,Aug  8 2021,529,0
United States,Aug  7 2021,645,0
United States,Aug  6 2021,843,0
United States,Aug  5 2021,763,0
United States,Aug  4 2021,745,0
United States,Aug  3 2021,707,0
United States,Aug  2 2021,656,0
United States,Aug  1 2021,372,0
United States,Jul 31 2021,399,0
United States,Jul 30 2021,651,0
United States,Jul 29 2021,503,0
United States,Jul 28 2021,493,0
United States,Jul 27 2021,503,0
United States,Jul 26 2021,418,0
United States,Jul 25 2021,249,0
United States,Jul 24 2021,245,0
United States,Jul 23 2021,414,0
United States,Jul 22 2021,345,0
United States,Jul 21 2021,395,0
United States,Jul 20 2021,322,0
United States,Jul 19 2021,287,0
United States,Jul 18 2021,148,0
United States,Jul 17 2021,178,0
United States,Jul 16 2021,368,0
United States,Jul 15 2021,321,0
United States,Jul 14 2021,339,0
United States,Jul 13 2021,337,0
United States,Jul 12 2021,305,0
United States,Jul 11 2021,117,0
United States,Jul 10 2021,145,0
United States,Jul  9 2021,312,0
United States,Jul  8 2021,265,0
United States,Jul  7 2021,253,0
United States,Jul  6 2021,303,0
United States,Jul  5 2021,106,0
United States,Jul  4 2021,123,0
United States,Jul  3 2021,153,0
United States,Jul  2 2021,302,0
United States,Jul  1 2021,289,0
United States,Jun 30 2021,244,0
United States,Jun 29 2021,277,0
United States,Jun 28 2021,191,0
United States,Jun 27 2021,175,0
United States,Jun 26 2021,241,0
United States,Jun 25 2021,394,10
United States,Jun 24 2021,316,0
United States,Jun 23 2021,338,0
United States,Jun 22 2021,309,0
United States,Jun 21 2021,274,0
United States,Jun 20 2021,216,0
United States,Jun 19 2021,253,0
United States,Jun 18 2021,273,0
United States,Jun 17 2021,278,0
United States,Jun 16 2021,341,0
United States,Jun 15 2021,312,0
United States,Jun 14 2021,202,0
United States,Jun 13 2021,148,0
United States,Jun 12 2021,212,0
United States,Jun 11 2021,398,0
United States,Jun 10 2021,391,0
United States,Jun  9 2021,370,18
United States,Jun  8 2021,314,0
United States,Jun  7 2021,324,0
United States,Jun  6 2021,425,0
United States,Jun  5 2021,396,0
United States,Jun  4 2021,594,0
United States,Jun  3 2021,475,0
United States,Jun  2 2021,500,0
United States,Jun  1 2021,337,0
United States,May 31 2021,228,0
